the: то
five-wicket: пять калитки
shonen: сенен
ichi: ичи
iver: айвер
kiva: кива
jpmorgan: джпморган
poder: подер
polychrome: полихромная
accomplishes: свершать
supposition: предположение
garrigues: гарриг
enriching: обогащение
lysine: лизин
coxswain: рулевой
rubenstein: Рубинштейн
condensate: конденсат
semi-autobiographical: полубиографическая
pairwise: попарно
winchell: уинчелл
pygmalion: Пигмалион
borac: борац
binaries: файлы
milled: фрезерованные
arnott: арнотт
blockaded: блокированный
miku: Мику
rrna: ррнк
awakes: просыпается
remand: заключения
horrocks: хоррокс
ostia: остия
wahlberg: вальберг
spyro: спайро
rosina: Розина
hammock: гамак
match-up: матч
franchi: франки
schatz: Шац
abstaining: воздержались
marinos: маринос
leiter: лейтер
silverbacks: силвербекс
unnumbered: ненумерованные
batang: батанг
hardline: бескомпромиссные
yukari: юкари
suncorp: санкорп
mendelsohn: Мендельсон
baddeley: баддели
putsch: путч
cvo: ЦВО
capriccio: каприччио
dropkick: пнуть
unsettling: тревожно
narcissism: нарциссизм
ratchasima: ратчасима
zahir: захир
longworth: лонгворт
pavlovich: Павлович
d'argent: д'аржан
stenton: стентон
quatermass: куотермасс
naresh: нареш
reprimand: выговор
broun: броун
britta: бритта
edsel: эдсель
gluten: клейковина
lbh: бчд
reichsbahn: железной дороге
hata: хата
leni: лени
militaries: военнослужащие
pacer: иноходец
beaverton: бивертон
biannual: двулетнее
mullingar: маллингар
diderot: Дидро
wessel: вессел
hillock: холмик
kenwood: кенвуд
white-winged: белокрылый
martinelli: мартинелли
bacon's: бекон
resized: изменен
duhamel: Дюамель
knowledgable: знающие
high-wing: высок-крыла
iam: иам
watertight: водонепроницаемые
masem: масэм
citizenry: граждан
signers: подписанты
salar: салар
hesse-kassel: Гессен-Кассель
eschatology: эсхатология
kerstin: керстин
reuptake: обратного захвата
churchs: церкви
cutaway: визитка
hawaii's: Гавайи
canongate: канонгейт
epigenetic: эпигенетические
mapper: картографа
polyurethane: полиуретан
csaba: чаба
mattingly: маттингли
redeployed: передислоцированы
laxman: лаксман
kidnappings: похищения
isang: исанг
sepsis: сепсис
guha: гуха
bauxite: бокситы
shephard: Шепард
redhill: редхилл
obstructions: препятствия
siouxsie: стала
luhansk: Луганске
takahiro: такахиро
nellis: неллис
brainwashing: промывка мозгов
lionheart: Львиное Сердце
sliders: ползунки
disrepute: дурную славу
gyro: гироскоп
lusk: ласка
mlle: мадемуазель
mosby: мосби
rectal: ректальные
sorcerers: маги
vanda: Ванда
wolverton: вулвертон
dervish: дервиш
viewfinder: видоискатель
consumerism: консьюмеризм
zuzana: зузана
dietmar: дитмар
lorries: грузовики
pseudonymous: псевдонимом
technologists: технологи
leniency: снисхождение
becca: бекка
al-shabaab: Аль-шабааб
dived: спикировал
ethnikos: игру
ambushes: засады
kashyap: кашьяп
delray: делрей
hesketh: хескет
ricks: скирды
foregoing: вышесказанное
wallenberg: валленберга
factoring: факторинг
walk-off: уолк-офф
lubricant: смазка
brickell: брикелл
out-of-state: из-из-государства
two-run: две работают
chard: мангольд
arkady: Аркадий
iulia: Юлия
jog: пробежка
kum: кум
lexis: лексика
piel: пьель
crewmembers: экипажа
behrens: беренс
bremner: бремнер
eluded: ускользал
fairbank: фейрбэнк
tutsi: Тутси
virgilio: вирджилио
briefed: проинформировал
blacklisting: черный список
patrese: патрезе
read-only: только для чтения
takuma: такума
interrogations: допросы
mcgann: макгэнн
tejada: техада
contador: Контадор
fulk: фульк
gemstones: драгоценные камни
seiko: сейко
rothenberg: ротенберг
oswaldo: освальдо
ylmaz: йелмаз
magnetization: намагниченность
romantics: романтиков
digitization: оцифровка
picker: сборщица
frideric: Фридрих
adored: обожал
camouflaged: закамуфлированный
crabb: крэбб
breads: хлеб
neanderthals: неандертальцы
oryx: орикс
wheatland: уитленд
relish: смак
tubers: клубни
woodcuts: ксилографии
bailed: спасли
ballon: баллон
puranas: пураны
statham: Стэтхэм
dreamy: мечтательный
carle: Карл
ballina: баллина
resurgent: возрождающийся
mmx: ммх
superfast: суперскоростной
aveiro: авейру
tunings: тюнинг
pennsylvanian: пенсильванская
hunedoara: хунедоара
neutralized: нейтрализованы
kraftwerk: крафтверка
lovecraft's: Лавкрафта
undertones: полутонами
menstruation: менструального цикла
anschluss: аншлюс
babbage: бэббидж
quizzes: викторины
lascelles: ласселлз
mahadev: махадев
mcginley: макгинли
gwh: гвтч
kant's: Канта
electromechanical: электромеханическая
burl: Капа
cayo: Кайо
koro: коро
mayonnaise: майонез
evangelistic: евангелизационные
intakes: воздухозаборники
catalana: каталана
squamish: сквомиш
second-most: во-вторых-большинство
synods: синодов
nagata: нагата
fulcrum: опоры
canada-related: Канада-обзоры
haulage: откатки
magnified: увеличенный
lynch's: Линча
platelets: тромбоциты
pheromones: феромоны
dfa: дка
vrs: врс
zhuo: чжо
gallica: сайте галлика
potro: Потро
ratliff: рэтлифф
sandinista: сандинистское
hypothalamus: гипоталамус
elfsborg: эльфсборг
plaintext: открытым текстом
amadou: трута
inaccurately: неточно
volition: желанию
imperfections: недостатки
vivendi: вивенди
jis: джис
zig: зигзаги
kaveri: кавери
huta: Гута
politik: политик
revell: ревелл
dedham: дедхэм
denali: денали
freshness: свежесть
rectors: ректоры
pareto: Парето
grattan: граттана
kennard: кеннард
tritium: тритий
sunder: Сандер
narciso: нарцисо
lucena: лусена
umpiring: судейство
scarring: рубцевание
combos: комбо
liquefied: сжиженный
transformational: трансформационный
hairspray: лак для волос
issuer: эмитент
scs: СКС
raiden: райден
catharina: Катарина
linga: линга
deum: деум
dispossessed: лишены
sinden: синден
morphs: морф
ezequiel: эсекьель
palumbo: палумбо
hodgkinson: ходжкинсон
insecticide: инсектицид
exacting: взыскивая
interdependence: взаимозависимость
camellia: Камелия
streptococcus: стрептококк
wozniak: Возняк
above-ground: надземная
fjords: фьорды
maroc: Марокко
roni: Рони
pandya: пандья
gremlin: гремлин
beevor: бивор
veloso: Велозу
hargrave: харгрейв
colet: Коле
burris: баррис
voucher: ваучер
saws: пилы
exxonmobil: эксонмобил
forays: вылазки
reise: рейзе
devaluation: девальвация
murata: Мурата
casemates: казематы
verdean: Верде
morphologically: морфологически
oscar-winning: оскароносный
lichtenberg: лихтенберг
hiphop: хип-хоп
banka: банка
all-white: все-белый
transposed: транспонирует
camry: Камри
albarn: албарн
sylvania: сильвания
shrestha: шрестха
wag: вилять
leo's: Лео
efes: Эфес
toggle: тумблер
chapman's: чепмен
squall: шквал
third-round: в третьем раунде
pictou: пикту
metzinger: метценже
saskia: саския
firma: фирма
desecration: осквернение
kahan: кахан
severino: северино
mages: маги
karp: карп
limn: матери
fraser's: Фрейзер
energia: энергия
pontypool: понтипул
pinal: пинал
pallet: поддон
quarterfinalists: четвертьфиналисты
emulators: эмуляторы
lapwing: чибис
oconnor: оконнор
proportionate: пропорционально
lexicographer: лексикограф
headlamps: фары
elucidated: выяснены
tenney: тенни
eifel: эйфель
indisputable: бесспорно
season-long: сезон длинный
vik: Вик
bradenton: брадентон
castaway: изгой
war-time: во время войны
bartels: бартельс
edsa: энса
torr: торр
chattopadhyay: рагхабом
purplish: пурпурно
postponement: отсрочка
capacitive: емкостный
joiner: столяр
imaged: изображены
trickery: плутовство
lectureship: лекции
bossy: начальственный
procuring: закупающая
non-binding: необязательный
validly: достоверно
deadman: мертвеца
nytimes: она
daa: даа
ffc: ФФК
frederick's: Фредерика
esau: исава
generality: обобщенность
burford: берфорд
copacabana: копакабана
energie: энергия
suave: учтивый
talkabout: говорить
beleive: считаю
lucchese: луккезе
wunderlich: вундерлих
underscores: подчеркивает
encamped: расположились
tarnished: подмочена
stoddart: стоддарт
predictably: предсказуемо
distilleries: винокурен
impersonate: олицетворять
mwe: мегаватт
tpp: ТПП
keefe: киф
agns: активных ядер галактик
hina: Хина
mino: Мино
weinberger: вайнбергер
callas: Каллас
slava: слава
over-the-counter: внебиржевом
lombok: ломбок
wahid: Вахид
formalised: формализованные
astonishment: изумление
ganymede: ганимед
aldrin: альдрин
wunsch: вунш
duomo: дуомо
purest: чистейший
frodo: Фродо
atheneum: атенеум
suspends: приостанавливает
inaba: инаба
ene: эне
nng: ноябрьскнефтегаз
playboys: плейбоев
loder: лодер
baki: Бакы
dubh: дуб
margrethe: маргрете
power-ups: бонусы
ronne: ренне
catamaran: катамаран
undeclared: незаявленных
attentive: внимательный
enterprising: предприимчивые
haringey: харингей
troublemaker: смутьян
artis: Артис
boehm: Бем
culex: так его называют потому
domitian: домициан
disenchanted: разочарованные
skilful: умелое
kanaan: канаан
eres: эрэс
pori: пори
mohave: Мохаве
minor-league: низшей Лиги
antoninus: Антонин
caracol: караколь
wasatch: уошэтч
impressively: впечатляюще
holland's: Голландии
achim: ахим
gambrinus: гамбринус
brees: бульоны
annecy: аннеси
licensees: лицензиатов
gorillaz: гориллаз
mourned: оплакивали
aber: абер
bourque: Бурк
fairweather: фэйруэзер
constitutive: правоустанавливающие
militarism: милитаризм
hortense: Гортензия
audiobooks: аудиокниги
sorin: сорин
associazione: ассоциация
baluchistan: белуджистан
porfirio: порфирио
pascale: Паскаль
barbus: барбус
hautes: информация
pratchett: Пратчетт
gawler: гоулер
subramaniam: субраманиам
berea: береа
elihu: елиуй
pierpont: пирпонт
fromm: Фромм
wizardry: колдовство
mirpur: мирпур
pix: пикс
koren: корен
fart: пукание
fawr: ваур
republica: република
dinara: Динара
di-pertuan: ди-пертуан
cyclopaedia: энциклопедии
splitter: сплиттер
hiroko: хироко
villalobos: вильялобос
diminishes: уменьшается
hydrolase: гидролазы
sfa: отвс
barberini: барберини
buttercup: Лютик
mele: меле
pias: пиаш
rabi: раби
slfp: шлпс
imperials: империалы
sande: санде
swoop: наскока
vazquez: васкес
thatcher's: Тэтчер
isherwood: ишервуд
arabisraeli: арабизированные
dispel: развеять
purpurea: пурпурная
caliphs: халифов
tethered: привязанный
bart's: Барт
sociales: исследований
abstractions: абстракции
roadhouse: придорожная закусочная
geostationary: геостационарной
grigori: Григорий
misdeeds: проступки
subjugated: покоренные
emailing: по электронной почте
phrygian: фригийский
taunus: таунус
brigid: бригитта
domus: домус
supplementation: добавки
degenerative: дегенеративные
kirby's: Кирби
tyldesley: тилдесли
end-user: конечного пользователя
gravestones: надгробия
kani: кани
wilding: дичок
spina: спина
pre-world: до первой мировой
corkscrew: штопор
overjoyed: радости
soldering: паять
ignace: игнас
hanukkah: ханука
classy: классный
petitioners: петиционеров
nankai: нанкай
remastering: ремастеринг
dementieva: Дементьева
benchmarking: бенчмаркинг
misidentified: ошибочно
imola: имола
li's: ли
pawan: паван
enveloped: обволок
office's: отделения
stoop: сутулость
vaasa: вааса
intermezzo: интермеццо
predominance: преобладание
anbar: анбар
hassett: хассет
vought: привет.
offsite: выездные
merion: мерион
pediatrician: педиатр
monte-carlo: Монте-Карло
pav: ПАВ
interagency: межведомственной
noch: ночь
barney's: Барни
perot: перо
radix: основание
islamism: исламизм
impassioned: страстные
janette: джанетт
chamberlain's: Чемберлена
gigantea: в углу
crewed: экипажем
booze: пьянка
gpp: ГПП
jobim: жобим
cautionary: поучительная
maior: маиор
baloncesto: балонсесто
cooperates: сотрудничает
one-night: одну ночь
infatuation: увлечение
pattinson: Паттинсон
stung: ужалила
intel's: Интел
estonians: эстонцы
film-maker: Режиссер
heart-shaped: в форме сердца
inadequately: неадекватно
woefully: удручающе
castaways: изгоев
enugu: энугу
andreu: Андрея
vitaliy: Виталий
ebooks: книги
cmu: КМУ
helsing: Хельсинг
grunwald: грюнвальд
kaneko: канеко
aili: айли
kuma: кума
mors: смерть
zaki: Заки
osmosis: осмос
haggerty: хаггерти
pitta: Питта
mexicali: мехикали
well-researched: хорошо проработанный
tulsi: тулси
punting: понтировавшего
bandra: бандра
republik: Республика
natsume: нацумэ
clinician: клиницист
vagueness: расплывчатость
hunch: догадка
ynet: инет
gudrun: гудрун
rebus: ребус
reyna: Рейна
sudhir: судхир
lathrop: латроп
gottschalk: готтшальк
perrier: перье
encephalopathy: энцефалопатия
prd: прд
wsu: уазу
kawai: Кавай
inter-cities: Интер-городов
baht: бат
bava: бава
toddlers: малышей
wildest: дичайший
elfman: эльфман
insemination: осеменение
chasse: шассе
hashem: Всевышний
pitkin: питкин
predicated: зависит
prsident: президента
ragnarok: рагнарок
misiones: мисьонес
olivares: оливарес
daltrey: долтри
abeyance: неопределенность
mendip: мендип
allmusic's: по популярности
wdr: дмр
tannery: кожевенный завод
lumps: комочки
paleontologists: палеонтологи
bacu: Баку
dede: Диди
myung: мен
fishbase: фишбейс
all-girl: все-девушка
pontius: Понтий
chernykh: черных
benefitted: выиграли
weigel: вигель
cofounder: соучредитель
stencil: трафарет
aurel: аурел
mclain: маклейн
alborz: альборз
katayama: катаяма
sew: шить
boldness: смелость
oulton: олтон
doty: доти
gata: гата
sown: высевают
vier: чотири
haughton: хоутон
googles: погуглить
inhumane: негуманно
hirschfeld: гиршфельд
snarky: вспыльчивый
caviar: икра
forsberg: форсберг
hirohito: хирохито
dicaprio: Ди Каприо
abscess: абсцесс
herman's: Герман
nathanael: нафанаил
lothair: лотаря
tidying: уборка
quintin: квинтин
air-conditioning: кондиционер
unspoken: невысказанное
cronulla-sutherland: кронулла-Сазерленд
hornchurch: хорнчерч
team-mates: товарищи по команде
momento: моменто
procedurally: процедурно
california-based: калифорнийская
kirkman: киркман
vitriol: купорос
oshima: осима
wsi: ВИС
inquiring: вопрошающий
bega: бега
dewi: Деви
low-profile: низкий профиль
ferried: переправил
augustana: огастана
celina: целина
warts: бородавки
speciosa: специоза
rundfunk: радио
storytellers: сказочники
patrimony: вотчина
fletcher's: Флетчер
prophesied: пророчествовал
sugarloaf: сахарная голова
in-state: в штате
games-related: игры-обзоры
vy: вы
asan: асан
egyptologist: египтолог
inbreeding: инбридинг
minigames: миниигры
ingushetia: Ингушетия
tubby: бочкообразная
horrendous: ужасные
telecoms: телекоммуникаций
lanka's: Ланки
cornett: корнетт
renshaw: реншоу
winningest: лучший
cranks: шатуны
abernathy: абернати
ekman: экман
aeolian: эолийские
controllable: управляема
badgering: извожу
dcc: ПКС
stc: ЮТК
dostoyevsky: Достоевский
vestibular: вестибулярный
golfing: гольф
hier: хайером
goodison: гудисон
tachycardia: тахикардия
multi-disciplinary: многопрофильный
kempton: кемптон
struve: Струве
papillon: бабочка
bermondsey: бермондси
succumbing: поддаваясь
incisors: резцы
dispatching: диспетчеризация
ripening: созревания
bolan: Болан
boomtown: бумтаун
brockman: брокман
striata: полосатое тело
michalis: михалис
chal: чал
danson: дансон
mandating: поручив
waxman: ваксман
stille: тихая
unforgiven: непрощенный
uusimaa: уусимаа
bonito: бонито
masada: масада
zalman: залман
tirpitz: тирпиц
freemen: вольницы
mails: письма
ciao: Чао
juin: июня
oars: весла
puno: пуно
stratovolcano: стратовулкан
comunale: комунале
dancefloor: танцпол
tobey: Тоби
chicoutimi: чикотило
patric: Патрик
never-ending: никогда не заканчивается
shipman: шипман
disordered: неупорядоченные
second-tier: второго уровня
one-hit: один хит
synchronize: синхронизировать
cabriolet: кабриолет
avars: аварцы
boc: вос
kirin: гирина
humana: хумана
uralic: уральских
caboose: камбуз
flourishes: процветает
abbottabad: абботтабад
konkan: конкан
willed: волевой
caserta: казерта
wuthering: грозовой
dragnet: бредень
mitral: митрального
fiu: ПФР
artful: хитрые
outkast: другою
rappaport: раппапорт
elland: элланд
salom: салом
teemu: теему
thais: тайцы
command's: команды
vardy: варди
practicality: практичность
nucleophilic: нуклеофильное
macdonnell: макдоннелл
rosemarie: Розмари
legumes: бобовые
burchell: берчелл
howards: говардами
matchups: матчей
alzheimers: Альцгеймера
ded: дед
maplewood: мейплвуд
saheb: сахеб
uriel: уриэль
gaskell: гаскелл
caledon: каледон
louisbourg: луисбург
roxana: Роксана
xenophobia: ксенофобия
assembly's: Ассамблеи
quimby: квимби
bernadotte: бернадотт
scrum-half: скрам-половина
sandor: Шандор
outscored: опередив
jukka: Юкка
goulet: гуле
capistrano: капистрано
castile-la: Кастилия-ла -
flightless: нелетающие
yokoyama: екояма
toit: Туа
manchester's: Манчестер
simferopol: Симферополь
bracketed: скобки
impeach: импичмент
immunodeficiency: иммунодефицита
tsinghua: цинхуа
eyeball: глазное яблоко
undercut: подрез
neiman: Нейман
deniz: Дениз
tejano: гангста
thefts: краж
scrope: скроуп
pox: оспа
airstrikes: авиаудары
kapur: Капур
keble: кэбл
gush: фонтанировать
luba: луба
savannas: саванны
constipation: запор
paraphernalia: атрибутика
hindering: препятствуя
self-sustaining: самодостаточного
tubbs: таббс
nanette: нанетт
yazid: язид
rangefinder: дальномер
fast-food: быстрого питания
mommsen: моммзен
dukakis: дукакис
diagnosing: диагностировать
maniacs: маньяки
marlo: Марло
baos: баос
horseracing: конный спорт
erzurum: эрзурум
tarnovo: тарново
rice's: Райс
thera: тера
wayans: уэйанс
tombstones: надгробия
flounder: камбала
crammed: напихано
late-th: поздно,-й
azerbaijanis: азербайджанцы
despatch: отправка
retaken: пересдавать
fanclub: фанклуб
mahone: махоуни
culpa: вина
surpasses: превосходит
gatos: гатос
wyandotte: вайандоте
leu: лей
charade: шарада
kehoe: Кехо
linea: линия
kavala: кавала
gravesite: кладбище
aage: ааге
ahem: ГМ
folger: фолгер
train's: поезда
scruggs: скраггс
eustis: юстис
legislate: законы
plug-ins: плагины
fiorentino: фиорентино
durbar: дурбар
importers: импортеры
sana'a: Сане
harel: харел
conundrum: загадка
weinheim: вайнхайм
incas: инки
laz: лаз
sharps: диезы
ciro: чиро
milla: Милла
jahr: Яр
lint: линт
rooting: укоренение
anorthosis: анортосис
caesium: цезий
pandemonium: столпотворение
rasul: Расул
showy: эффектные
tench: Линь
fillings: пломбы
zondervan: зондерван
diaper: памперс
spangled: усыпанный звездами
backus: бэкус
clarita: кларита
cookbooks: кулинарные книги
benedict's: Бенедикта
gurudwara: гурудвара
spengler: Шпенглер
treblinka: треблинка
avram: Аврам
beets: свекла
legionnaires: легионеры
transjordan: трансиордания
budgeted: в бюджете
dri: дри
ett: этт
zou: цзоу
thirtieth: тридцатый
sunnyvale: саннивейл
npcs: рну
wheldon: велдона
repton: рептон
jake's: Джейка
shura: Шура
pauper: нищий
falsification: фальсификация
clickable: кликабельно
loathing: омерзение
acorns: желуди
chancellor's: канцлера
arapaho: арапахо
plantain: подорожник
cardwell: кардуэлл
mantras: мантры
kurukshetra: курукшетра
msv: мЗв
proscribed: запрещенные
kolar: колар
unlawfully: незаконно
arbitrage: арбитраж
taal: таал
fluxus: флюксус
fredericks: Фредерик
leftists: леваки
language-related: языковые
norcross: норкросс
banderas: Бандерас
bellow: беллоу
seleucus: селевк
craig's: Крейга
equities: акции
psychopathology: психопатология
demonstrative: демонстративный
arabi: араби
ethiopians: эфиопы
epileptic: эпилептик
bcc: бцк
lvy: львы
ppa: ППА
sde: сде
sqm: кв. м.
klara: Клара
matchless: бесподобный
johnsen: йонсен
diddley: диддли
wegner: вегнер
breeches: галифе
lupton-to-none: лаптон-не
spacewalk: выход в открытый космос
fairway: фарватер
hydrostatic: гидростатическое
professorships: профессорские
morphisms: морфизмы
townhouses: таунхаусы
dysart: дайсарт
logged-in: вошедшего в
fouling: обрастания
eakins: икинс
haydn's: Гайдна
princesse: принцесса
cdm: мчр
cvg: квг
joana: джоана
matra: матра
wageningen: вагенинген
quod: смотри
clocking: хронометрировать
pre-roman: доримских
edmund's: Эдмунда
scheduler: планировщик
caster: литейщик
unbuilt: незастроенных
looped: петлей
matthieu: Матье
wisbech: висбеча
nato's: НАТО
patriarchy: Патриархат
creeds: вероучения
chaharmahal: чехармехаль
argonne: аргонн
hooves: копыта
glaad: интересно
progesterone: прогестерон
lakhs: лаков
marbella: Марбелья
u-turn: разворот
peary: Пири
self-awareness: самосознание
franky: Френки
backlogged: перегружен
segmental: сегментарный
bromine: бром
dodging: уворачиваясь
firebirds: жар-птицы
alberts: Альберт
germanys: германий
goalscoring: забить гол
millbrook: милбрук
marionette: марионеток
georgette: жоржет
sandal: сандалии
gah: гах
ofk: ОФК
abominable: отвратительные
sheehy: шихи
xylophone: ксилофон
cancerous: раковой
theodoros: теодорос
two's: двоек
debugger: отладчик
montparnasse: монпарнас
oberoi: оберой
cleans: очищает
giveaway: бесплатно
watercraft: плавсредство
bocelli: бочелли
locative: местный
monotheism: единобожие
benjamins: бенджаминах
unaccredited: неаккредитованный
justly: справедливо
azhar: ажар
footwork: ног
criminality: преступность
knopfler: нопфлер
crouching: пригнувшись
tdc: ВМТ
ledges: выступы
maire: майре
imprinted: отпечатанный
procurator: прокурор
defensively: в обороне
weizmann: вейцман
frazione: фразионе
audiencia: аудиенсия
silvana: сильвана
diego's: Диего
ildefonso: ильдефонсо
timescale: шкала времени
fireflies: светлячки
maltby: малтби
escapees: беглецов
elson: элсон
crackpot: чокнутый
couplets: двустишие
parodying: пародируя
nau: НАУ
tvp: твп
ashish: ашиш
solipsist: солипсист
flirts: кокетничает
rebuke: отповедь
moller: моллер
flocked: стекались
payson: пейсон
basile: базиль
amusements: аттракционы
larceny: воровство
microcontroller: микроконтроллер
engineer's: инженер
banging: стучать
up-tempo: ап-темпо
opm: ОПМ
tir: МДП
filial: сыновней
mlad: млад
urns: урны
oklahoma's: Оклахомы
faversham: фавершам
bi-weekly: два раза в неделю
conquistadors: конкистадоры
office-holders: должностных лиц
presser: прижимной
hesiod: гесиод
duniya: приятной обстановке современного
baugh: бо
burdened: тяготят
meaningfully: многозначительно
hpv: ВПЧ
kapil: капил
larch: лиственница
mccarthy's: Маккарти
espy: варни
gere: Гир
olli: Олли
molla: молла
towels: полотенца
tisto: тисто
discal: дискального
sriram: шрирам
orpheum: Орфей
vibrato: вибрато
fluctuation: колебания
reconnect: подключите
couplet: двустишие
excreted: выделянный
colson: колсон
overthrowing: свержение
inlets: впуска
oldman: Олдман
thereto: к ним
lysander: лизандр
banshees: банши
photographer's: фотограф
noelle: Ноэль
cil: ксс
rmy: рмы
twh: твт
eu's: ЕС
kopp: Копп
leer: леер
maac: мдбк
nris: индийцев
puna: пуна
programme's: программы
cruikshank: крукшенк
corroborate: подтвердить
strawman: наметки
wemyss: вемисс
yarns: пряжа
one-quarter: четверть
acrobatics: акробатика
statistique: статистики
nadeem: надим
unrecorded: неучтенные
trust's: доверие
reparation: возмещение
ambler: амблер
antena: антена
fondo: фондо
metrology: метрология
beng: бенг
set-top: сет-топ
fringed: окаймленный
sanda: санда
duncan's: Дункан
spinosa: Спиноза
stora: стора
unequivocal: однозначно
dismissals: увольнения
squier: сквайер
sulcus: борозда
transcends: превосходит
beauvoir: бовуар
matrimonial: матримониальные
tadashi: тадаши
call-out: вызов
reykjavik: Рейкьявик
drinkers: поилки
ohv: верхнеклапанный
coverdale: ковердейл
romaine: Ромэн
gobi: Гоби
imai: имаи
timm: тимм
common-law: общего права
spars: лонжероны
velma: велма
contemporain: искусства
ennobled: облагородили
pottsville: потсвилла
irrawaddy: иравади
windsurfing: виндсерфинг
bayne: бейн
steelworks: металлоконструкции
chancellorsville: чанселлорсвилле
d'alene: - д'Ален
metrorail: метро
brie: Бри
ojos: охос
sive: сив
wept: плакал
olena: Елена
epidermal: эпидермальный
geraghty: джерати
sarek: сарек
wailers: плакальщиц
market's: рынка
collis: коллис
appian: аппиевой
ede: эде
boleslav: Болеслав
haga: хага
florio: флорио
bassoons: фаготов
rime: изморозь
regine: режин
superscript: надстрочный
deniers: отрицатели
underdogs: аутсайдеры
line-ups: составы
timorese: тиморские
mcilroy: макилрой
nakhchivan: нахчыван
bidders: участники
cloisters: монастыри
cloths: тряпочки
emplacements: огневые позиции
mathur: матур
ivano-frankivsk: Ивано-Франковск
gandy: гэнди
girth: обхват
kri: кри
nae: не
nrg: нрг
olivera: Оливера
maugham: Моэм
guia: ГИА
yeon: ен
burslem: берслем
formby: формби
gaborone: габороне
refereeing: судейство
urawa: урава
bandon: бандон
peterhead: питерхед
misfortunes: несчастья
hattiesburg: хаттисберг
saldanha: салданья
inlaid: инкрустированные
daniell: дэниелл
larynx: гортани
stumped: тупик
serres: серре
jools: Джулс
libor: либор
azar: Азар
banc: банк
dini: дини
habe: пишите
orangeville: оранжвилле
canute: канута
nihilism: нигилизм
eliminator: элиминатор
uspto: вптз
bahama: Багамских
tamarind: тамаринд
yerba: йерба
danmarks: датский
rusher: рашер
sub-region: суб-регион
creoles: креолы
benevolence: доброжелательность
cashmere: кашемир
plebeian: плебей
testicular: тестикулярная
omnipotent: всемогущий
festus: фестус
bacteriology: бактериология
amu: амударья
dfw: Даллас
jel: гель
quaternions: кватернионы
mac's: Мак
kivu: киву
vamp: вамп
moskva: Москва
sonne: сонн
matsushita: мацусита
thoroughfares: магистралей
surged: поднялся
valero: валеро
evacuees: эвакуированных
pillaged: грабили
bistrica: быстрица
rappahannock: раппаханнок
multiplexed: мультиплексированный
bootle: бутл
disapprove: не одобряю
shogakukan: сегакукан
driftwood: сплавной
ache: боль
ibex: Козерог
sickly: хилый
neam: аяэ
rauf: Рауф
slut: шалава
robespierre: Робеспьер
eddington: эддингтон
nickelback: мой
o'kelly: О'Келли
messiaen: мессиан
one-eyed: одноглазый
paulin: паулин
subprefecture: округ
warangal: варангал
homesick: тосковал
corvinus: Корвин
vigour: силой
eure-et-loir: Эр-э-луар
western-style: в западном стиле
nesmith: несми
occasioned: поводом
hiragana: хирагана
monochromatic: монохроматический
tsc: ЦТП
o'dwyer: О'двайер
radisson: Рэдиссон
sunt: они
grillo: грилло
washoe: уошо
anti-japanese: анти-японской
harrelson: Харрельсон
luongo: луонго
shueisha: школы
hopwood: хопвуд
third-generation: третьего поколения
illusory: иллюзорный
bobbi: Бобби
anti-soviet: антисоветчик
hartnett: хартнетт
petticoat: юбка
kovil: ковилья
sheesh: шиш
waterboarding: утоплением
virtuosity: виртуозность
emeralds: изумруды
suckers: лохов
yummy: вкусный
hyperactivity: гиперактивность
blacksmiths: кузнецы
kumasi: кумаси
stimson: стимсон
extrapolation: экстраполяция
sanctorum: санкторум
buoys: буйки
immobile: неподвижные
vice-marshal: вице-маршал
halberstadt: хальберштадт
professor's: профессор
simulates: имитирует
musculus: Ван
paleocene: палеоцен
matsuri: мацури
fyfe: файф
conspirator: заговорщик
t'ai: т Тай
pro-government: проправительственные
klezmer: клезмер
parco: парко
semarang: семаранг
loiret: луаре
uddin: уддин
srpski: српски
hinkley: хинкли
heidfeld: Хайдфельд
first-place: первое место
workgroup: рабочей группы
nowitzki: новицки
incurable: неизлечимых
heo: хео
qun: цюнь
vms: ЗИС
daya: дая
burlingame: бурлингейм
greenlee: гринли
overridden: переопределен
nursed: выхаживают
supernovae: сверхновые
all-black: все черные
quartzite: кварцита
paging: пейджинг
deshmukh: дешмук
benzodiazepine: бензодиазепиновые
clades: клады
scratchy: колючий
acclamation: аккламации
intransitive: непереходный
neeson: Нисон
bowker: боукер
semigroup: полугруппа
jenkinson: дженкинсон
fiefs: феоды
latour: латур
unmistakable: безошибочно
irvington: ирвингтон
zuo: цзо
marrero: марреро
ouster: свержение
goro: горо
rewa: рева
scat: брысь
drexler: дрекслер
fandango: фанданго
kevlar: кевлар
introspection: интроспекция
thinning: истончение
witton: уиттон
ramachandra: рамачандра
nozzles: сопла
canna: канна
carpi: карпи
categorizes: классифицирует
criminally: преступно
cortlandt: кортланд
nebelhorn: небельхорн
unitas: унитас
scythe: косой
puckett: пакетт
waitakere: вэйтакере
magne: Магне
vinh: винь
newell's: ньюэлла
wagtail: трясогузка
programmatic: программный
leveraging: усиливая
cutbacks: сокращение
prishtina: приштина
recoverable: извлекаемые
shikari: кровожадный
incubated: инкубируют
forefathers: предки
sprinkler: ороситель
thalamus: таламус
tsutomu: цутому
poznan: Познань
atlus: атлус
blindfolded: с завязанными глазами
first-run: первого запуска
hakan: хакан
